Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",4,4.19,Houghton Mifflin Harcourt,Kindle Edition,298,2013,1949,,2019/08/23,,,read,,,,1,0
48855,The Diary of a Young Girl,Anne Frank,"Frank, Anne","Eleanor Roosevelt, Susan Massotty, Γιάννης Θωμόπουλος, Barbara Mooyaart-Doubleday, Otto H. Frank, Mirjam Pressler","=""""","=""""",5,4.19,Bantam,Mass Market Paperback,283,1993,1947,,2019/08/23,,,read,,,,1,0
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,"=""""","=""""",4,4.28,Modern Library,Paperback,279,2000,1813,,2019/08/23,,,read,,,,1,0
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""""","=""""",4,4.26,Harper Perennial Modern Classics ,Paperback,323,2006,1960,,2019/08/23,,,read,,,,1,0
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,"=""0439023513""","=""9780439023511""",4,4.07,Scholastic Press,Hardcover,390,2010,2010,,2019/08/23,,,read,,,,1,0
10507293,"The Selection (The Selection, #1)",Kiera Cass,"Cass, Kiera",,"=""0062059939""","=""9780062059932""",5,4.09,HarperTeen,Hardcover,336,2012,2012,,2019/08/23,,,read,,,,1,0
14290364,"Champion (Legend, #3)",Marie Lu,"Lu, Marie",,"=""0399256776""","=""9780399256776""",4,4.32,Putnam Juvenile,Hardcover,369,2013,2013,,2019/08/23,,,read,,,,1,0
13414446,"Prodigy (Legend, #2)",Marie Lu,"Lu, Marie",,"=""0399256768""","=""9780399256769""",5,4.23,Putnam Juvenile,Hardcover,371,2013,2013,,2019/08/23,,,read,,,,1,0
24770,"Uglies (Uglies, #1)",Scott Westerfeld,"Westerfeld, Scott",,"=""""","=""""",2,3.85,Simon Pulse,Paperback,425,2005,2005,,2019/08/23,,,read,,,,1,0
7624,Lord of the Flies,William Golding,"Golding, William",,"=""0140283331""","=""9780140283334""",3,3.69,Penguin Books ,Paperback,182,1999,1954,,2019/08/23,,,read,,,,1,0
3636,"The Giver (The Giver, #1)",Lois Lowry,"Lowry, Lois",,"=""0385732554""","=""9780385732550""",0,4.12,Ember,Paperback,208,2006,1993,,2019/08/23,,,read,,,,1,0
39080995,Mio caro serial killer,Alicia Giménez Bartlett,"Bartlett, Alicia Giménez",Maria Nicola,"=""""","=""""",4,3.78,Sellerio,Kindle Edition,331,2018,2017,2018/12/31,2018/12/30,,,read,,,,1,0
1879904,Le città invisibili,Italo Calvino,"Calvino, Italo",,"=""8804425547""","=""9788804425540""",5,4.12,Mondadori,Paperback,166,1996,1972,2018/12/29,2018/12/22,,,read,,,,1,0
